"","mNeighborhood","YearMonth","Gun","Any.Weapon","Num.Crimes"
"627","East Rock",200208,"0",0,154
"628","East Shore",200208,"0",0,63
"629","Edgewood",200208,"0",0,147
"630","Fair Haven",200208,"0",0,404
"631","Fair Haven Heights",200208,"0",0,111
"632","Hill",200208,"0",0,511
"633","Long Wharf",200208,"0",0,122
"634","Newhallville",200208,"0",0,171
"635","Prospect Hill",200208,"0",0,84
"636","Quinnipiac",200208,"0",0,111
"637","West River",200208,"0",0,141
"638","West Rock",200208,"0",0,115
"639","Westville",200208,"0",0,72
"640","Wooster Square/Mill River",200208,"0",0,149
"641","Amity",200209,"0",0,125
"642","Annex",200209,"0",0,107
"643","Beaver Hills",200209,"0",0,112
"644","Dixwell",200209,"0",0,145
"645","Downtown",200209,"0",0,378
"646","Dwight",200209,"0",0,158
"647","East Rock",200209,"0",0,152
"648","East Shore",200209,"0",0,42
"649","Edgewood",200209,"0",0,139
"650","Fair Haven",200209,"0",0,435
"651","Fair Haven Heights",200209,"0",0,75
"652","Hill",200209,"0",0,497
"653","Long Wharf",200209,"0",0,99
"654","Newhallville",200209,"0",0,164
"655","Prospect Hill",200209,"0",0,76
"656","Quinnipiac",200209,"0",0,111
"657","West River",200209,"0",0,119
"658","West Rock",200209,"0",0,142
"659","Westville",200209,"0",0,61
"660","Wooster Square/Mill River",200209,"0",0,122
"661","Amity",200210,"0",0,128
"662","Annex",200210,"0",0,116
"663","Beaver Hills",200210,"0",0,80
"664","Dixwell",200210,"0",0,162
"665","Downtown",200210,"0",0,329
"666","Dwight",200210,"0",0,136
"667","East Rock",200210,"0",0,157
"668","East Shore",200210,"0",0,52
"669","Edgewood",200210,"0",0,123
"670","Fair Haven",200210,"0",0,392
"671","Fair Haven Heights",200210,"0",0,111
"672","Hill",200210,"0",0,524
"673","Long Wharf",200210,"0",0,90
"674","Newhallville",200210,"0",0,147
"675","Prospect Hill",200210,"0",0,71
"676","Quinnipiac",200210,"0",0,116
"677","West River",200210,"0",0,120
"678","West Rock",200210,"0",0,112
"679","Westville",200210,"0",0,58
"680","Wooster Square/Mill River",200210,"0",0,129
"681","Amity",200211,"0",0,97
"682","Annex",200211,"0",0,127
"683","Beaver Hills",200211,"0",0,87
