"Date","Time","Variable","Value"
2020-01-04,"07:50:00","Glucose",123
2020-01-04,"07:55:00","Glucose",135
2020-01-04,"08:00:00","Glucose",148
2020-01-04,"08:05:00","Glucose",147
2020-01-04,"08:10:00","Glucose",140
2020-01-04,"08:15:00","Glucose",130
2020-01-04,"08:20:00","Glucose",146
2020-01-04,"08:25:00","Glucose",148
2020-01-04,"08:30:00","Glucose",156
2020-01-04,"08:35:00","Glucose",167
2020-01-04,"08:40:00","Glucose",174
2020-01-04,"08:45:00","Glucose",173
2020-01-04,"08:50:00","Glucose",169
2020-01-04,"08:55:00","Glucose",166
2020-01-04,"09:00:00","Glucose",165
2020-01-04,"09:05:00","Glucose",165
2020-01-04,"09:10:00","Glucose",179
2020-01-04,"09:15:00","Glucose",177
2020-01-04,"09:20:00","Glucose",173
2020-01-04,"09:25:00","Glucose",170
2020-01-04,"09:30:00","Glucose",168
2020-01-04,"09:35:00","Glucose",167
2020-01-04,"09:40:00","Glucose",168
2020-01-04,"09:45:00","Glucose",168
2020-01-04,"09:50:00","Glucose",172
2020-01-04,"09:55:00","Glucose",169
2020-01-04,"10:00:00","Glucose",173
2020-01-04,"10:05:00","Glucose",164
2020-01-04,"10:10:00","Glucose",161
2020-01-04,"10:15:00","Glucose",164
2020-01-04,"10:20:00","Glucose",173
2020-01-04,"10:25:00","Glucose",176
2020-01-04,"10:30:00","Glucose",175
2020-01-04,"10:35:00","Glucose",181
2020-01-04,"10:40:00","Glucose",186
2020-01-04,"10:45:00","Glucose",191
2020-01-04,"10:50:00","Glucose",192
2020-01-04,"10:55:00","Glucose",186
2020-01-04,"11:00:00","Glucose",182
2020-01-04,"11:05:00","Glucose",182
2020-01-04,"11:10:00","Glucose",183
2020-01-04,"11:15:00","Glucose",185
2020-01-04,"11:20:00","Glucose",182
2020-01-04,"11:25:00","Glucose",171
2020-01-04,"11:30:00","Glucose",164
2020-01-04,"11:35:00","Glucose",162
2020-01-04,"11:40:00","Glucose",161
2020-01-04,"11:45:00","Glucose",156
